,Channel,Tweets,Time,Compound Score,Positive Score,Negative Score,Neutral Score
63,BBC,"Alice is a 26-year-old mum. She's married, she has schizophrenia &amp; she is fed up of being portrayed as 'dangerous'… https://t.co/hy2APiuz5L",Sat Dec 09 16:30:06 +0000 2017,0.0,0.0,0.0,1.0
64,BBC,Astronomers have discovered the most distant 'supermassive' black hole known to science. ☄🔭 https://t.co/OYWmKfE4t4 https://t.co/10PPSeYkT2,Sat Dec 09 16:00:06 +0000 2017,0.0,0.0,0.0,1.0
65,BBC,Claire Foy talks about what will be her last outing as Britain’s longest serving monarch - and hints at choppy wate… https://t.co/z6WuYfwM3d,Sat Dec 09 15:30:07 +0000 2017,0.0,0.0,0.0,1.0
66,BBC,"I'm celebrating natural beauty - 'Instagram isn't real life.' @IAmSonnyTurner
These five body positive champions ar… https://t.co/uUr8AHsfgq",Sat Dec 09 15:00:08 +0000 2017,0.9517,0.607,0.0,0.393
67,BBC,"Could you live with your partner alone in a remote lighthouse for 6 months?
Via @BBCWorldService. https://t.co/7gNRygiGKr",Sat Dec 09 14:30:02 +0000 2017,-0.25,0.0,0.125,0.875
68,BBC,"🎵 Jack Black’s Jumanji theme tune is the best. 😂
Via @BBCOne. https://t.co/bqpYxQ8cot",Sat Dec 09 14:10:03 +0000 2017,0.6369,0.296,0.0,0.704
69,BBC,Dyslexie is a font that aims to overcome some of the problems that people with dyslexia can have when reading.… https://t.co/d3GZEMdZgc,Sat Dec 09 13:35:04 +0000 2017,-0.4019,0.0,0.124,0.876
70,BBC,"🔬🌡 Heard of Terrific Scientific, the BBC’s science campaign for primary pupils? 

If you know a brilliant teacher,… https://t.co/DtpAloo5Fe",Sat Dec 09 13:00:06 +0000 2017,0.7845,0.301,0.0,0.699
71,BBC,Many coastal communities are already battling the effects of sea level rise - and it's made worse by the fact that… https://t.co/WRpTIDB2e9,Sat Dec 09 12:31:04 +0000 2017,-0.6369,0.0,0.215,0.785
72,BBC,"Danielle is breaking deaf world records left right &amp; centre. 🏊❤️️
Via @BBCTheSocial. https://t.co/XRlJU7UdU7",Sat Dec 09 12:00:02 +0000 2017,0.0,0.0,0.0,1.0
73,BBC,Do you feel pressure when giving Christmas gifts? @DrRadhaModgil discusses the psychology of giving &amp; receiving gif… https://t.co/DtkRGlOvdW,Sat Dec 09 11:30:05 +0000 2017,0.3818,0.218,0.1,0.682
74,BBC,RT @bbcthree: Lynsey is saving condemned dogs and finding them forever homes. https://t.co/aF7j3gaZil,Sat Dec 09 10:59:05 +0000 2017,-0.4404,0.0,0.195,0.805
75,BBC,"RT @bbcmusic: Nearly seven months later, we look back on the #OneLoveManchester concert staged by @ArianaGrande after the devastating attac…",Sat Dec 09 10:46:31 +0000 2017,-0.6486,0.0,0.185,0.815
76,BBC,"RT @BBCr4today: If you do one thing today...

Listen to Gaelynn Lea play the violin #r4today https://t.co/nXixd8e8rO",Sat Dec 09 10:44:54 +0000 2017,0.34,0.13,0.0,0.87
77,BBC,"👂🏻📖 @SJ_Watson was an audiology specialist before penning the international bestseller Before I Go To Sleep. 
5 peo… https://t.co/RqDVSZ8Ntl",Sat Dec 09 10:30:05 +0000 2017,0.0,0.0,0.0,1.0
78,BBC,"Mason has used his pocket money to fund random acts of kindness this year in memory of his brother, Ross. ❤️️ Via… https://t.co/asKJ9me2MY",Sat Dec 09 10:00:03 +0000 2017,0.4588,0.12,0.0,0.88
79,BBC,"Who even needs a calculator anyway? 
Via BBC Minute https://t.co/5LIDp3hZXh",Sat Dec 09 09:30:03 +0000 2017,0.0,0.0,0.0,1.0
80,BBC,"📚 From essays about Cuba’s transformation to a history of US nuclear policy, here are 10 books to read in December.… https://t.co/XvF7FFPWF8",Sat Dec 09 09:00:09 +0000 2017,0.0,0.0,0.0,1.0
81,BBC,"There's around 500k pieces of space junk orbiting Earth, posing a huge threat to astronauts. The RemoveDebris space… https://t.co/MLFaaVAxta",Sat Dec 09 08:00:03 +0000 2017,-0.2732,0.106,0.157,0.737
82,BBC,"As @Lord_Sugar's search for his next business partner continues, take an in-depth look at the remaining candidates.… https://t.co/jkK7AHquzr",Fri Dec 08 19:30:05 +0000 2017,0.0,0.0,0.0,1.0
83,BBC,"'For me, drag is a device to entertain people and make them laugh.' 💋💅
Via @BBCTheSocial. https://t.co/urnzq6NJJA",Fri Dec 08 19:00:06 +0000 2017,0.1027,0.126,0.104,0.769
84,BBC,"You might think the hipster beard is a new trend, but the mid-19th century was a true golden age for massive facial… https://t.co/dsJojiqMgH",Fri Dec 08 18:30:15 +0000 2017,0.5719,0.156,0.0,0.844
85,BBC,"RT @bbcmusic: WHAT A LINE UP 😍
Tonight's #SLFN guest host: the incredible @DuaLipa 🌹
Performances from @KasabianHQ, @RagNBoneManUK, @RAYE a…",Fri Dec 08 18:29:57 +0000 2017,0.0,0.0,0.0,1.0
86,BBC,"RT @bbc5live: 10-year-old William thought he'd lost his camera when it was swept out to sea 📷 🌊

But he's been reunited with it after it wa…",Fri Dec 08 18:28:12 +0000 2017,-0.3182,0.0,0.087,0.913
87,BBC,"RT @BBCSpringwatch: We've some gorgeous gannets in today's advent calendar. 🎄🎅🏽
They're busy building nests - I wonder if they can make wre…",Fri Dec 08 18:27:20 +0000 2017,0.6124,0.167,0.0,0.833
88,BBC,RT @BBCOne: ✨ @Chris_Stark reveals the magic behind *that* BBC One Christmas tearjerker. https://t.co/FbLj5SrI6y,Fri Dec 08 18:26:46 +0000 2017,0.0,0.0,0.0,1.0
89,BBC,🗓 🎶 @ClaudiaWinkle and @Claraamfo look back at this year's best music. The Year in Music 2017. 9pm on @BBCTwo.… https://t.co/fqm4A0Wv3C,Fri Dec 08 18:03:03 +0000 2017,0.6369,0.189,0.0,0.811
90,BBC,"🎬 From the new Star Wars to the story of the worst movie ever made, here are 9 movies to watch in December. 👉… https://t.co/Zihk2ad0dz",Fri Dec 08 17:30:07 +0000 2017,-0.8271,0.0,0.268,0.732
